,signal
165,-0.004905084
166,0.001112207
167,-0.001808706
168,0.001718085
169,-0.0012029
170,0.007543614
171,-0.00806641
172,-0.000177739
173,0.002455845
174,0.0041497
175,-0.005780754
176,-0.001554786
177,0.003123926
178,-0.001106608
179,0.002274632
180,-0.000704635
181,-0.000738883
182,0.000616523
183,-0.000709013
184,0.000585989
185,-0.00089485
186,0.003917425
187,-0.003982879
188,-0.00353257
189,0.008000605
190,-0.005201404
191,-0.002897517
192,0.003056041
193,0.007823806
194,-0.008117003
195,0.003719802
196,-0.003687438
197,0.000930663
198,0.000278435
199,3.07e-05
200,0.001114781
201,-0.000836027
202,0.001267852
203,-0.005165639
204,0.007673058
205,-0.004426278
206,0.000372299
207,0.000864413
208,-0.000587394
209,-0.00033854
210,-0.002862963
211,0.005698607
212,-0.001694692
213,-0.00351234
214,0.002585783
215,0.002564323
216,-0.002747678
217,0.000863461
218,-0.002526997
219,0.000582711
220,0.006203933
221,-0.009657495
222,0.004993914
223,0.003218876
224,-0.002138452
225,0.001154924
226,-0.001071952
227,-0.007029566
228,0.006261677
229,-0.003312924
230,0.000447077
231,0.007166941
232,-0.005854468
233,-0.001281326
234,0.006743195
235,-0.007931932
236,0.002957242
237,0.002229319
238,-0.002472801
239,0.002137509
240,-0.004183684
241,0.006291771
242,-0.006475287
243,0.003603372
244,0.000215181
245,0.00118954
246,-0.002476795
247,-0.003438589
248,0.004476986
249,-0.000486687
250,0.001193985
251,-0.002538465
252,0.00220325
253,-0.003494377
254,0.005766794
255,-0.005002101
256,0.001687482
257,0.002031465
258,-0.003876032
259,0.002399233
260,0.001510154
261,-0.005235769
262,0.006006862
263,-0.002219516
264,-0.001661947
265,0.000739439
266,0.000646027
267,0.000276553
268,-0.001875588
269,0.001414119
270,-0.00018459
271,0.000923816
272,-0.002895519
273,0.004961266
274,-0.003267416
275,-0.000984682
276,0.000861305
277,0.001449395
278,-0.001758234
279,0.003796013
280,-0.00595477
281,0.00407171
282,-0.002036066
283,0.002746592
284,-0.00216079
285,0.000678323
286,-0.001632077
287,0.002094391
288,-0.000647062
289,-0.001846239
290,0.002554388
291,0.000123498
292,-0.000309673
293,-0.003319802
294,0.003227947
295,0.002030242
296,-0.002679454
297,-0.002266219
298,0.001165323
299,0.003744424
300,-0.004235327
301,0.00352877
302,-0.001413943
303,-0.003673358
304,0.006737158
305,-0.004655446
306,-0.001771126
307,0.005383211
308,-0.005326863
309,0.006832564
310,-0.004383819
311,-0.002783583
312,0.008020032
313,-0.008293786
314,0.003396002
315,0.001774179
316,-0.003914486
317,0.006663073
318,-0.008645243
319,0.004213824
320,0.000428
321,0.000764131
322,-0.002993672
323,-0.00077127
324,0.008942148
325,-0.010654581
326,0.007345359
327,-0.005261577
328,0.003485889
329,-0.003331398
330,0.001617871
331,0.000335683
332,0.000614012
333,0.000155264
334,-0.0010438
335,0.000768185
336,0.000522639
337,-0.001567363
338,-0.004002735
339,0.013452864
340,-0.008059268
341,-0.006168444
342,0.005911897
343,-0.000183643
344,-0.001038753
345,-0.002357342
346,0.007406297
347,-0.005908175
348,0.005353512
349,-0.007429253
350,0.003301701
351,0.000396792
352,0.000916937
353,-0.00091687
354,-0.002933724
355,0.005195962
356,-0.004130444
357,0.003399989
358,-0.001592698
359,-0.000583153
360,0.002608434
361,-0.003283183
362,0.001503274
363,0.000857629
364,-0.002665494
365,0.000152125
366,0.004231053
367,-0.002332241
368,-0.003918191
369,0.0047461
370,-0.001193813
371,-3.06e-05
372,-0.000214796
373,-0.001537096
374,0.006575773
375,-0.007496613
376,0.002396761
377,3.07e-05
378,0.002175318
379,-0.004013264
380,0.002542048
381,-0.000184222
382,-0.002752008
383,0.003761731
384,-0.000702955
385,-0.000398453
386,-0.001406377
387,-0.000613709
388,0.003642957
389,-0.002265661
390,0.00239045
391,-0.002330546
392,-0.002293076
393,0.005018894
394,-0.001624518
395,-6.52e-05
396,-0.003442318
397,0.004084504
398,-0.004842633
399,0.007220169
400,-0.003537088
401,-0.002249276
402,0.005804223
403,-0.001333196
404,-0.006549405
405,0.007831139
406,-0.007679606
407,0.010208821
408,-0.016326566
409,0.01980099
410,-0.014585987
411,0.005038155
412,-0.001876271
413,0.015235814
414,-0.035598945
415,0.027542276
416,0.000325783
417,-0.016765036
418,0.020485854
419,-0.023117685
420,0.022457091
421,0.000802676
422,-0.019340991
423,0.006266337
424,0.007161504
425,0.000944797
426,-0.005321027
427,0.001244783
428,-0.010899368
429,0.019538223
430,-0.010832258
431,0.002794645
432,-0.00773662
433,0.014591176
434,-0.008465943
435,0.000269499
436,0.000562769
437,-0.003754527
438,0.004942323
439,0.000408474
440,-0.002367262
441,-0.005469015
442,0.011426888
443,-0.014359038
444,0.017298299
445,-0.012055012
446,0.007006814
447,-0.006441911
448,0.007730241
449,-0.011169554
450,0.00839569
451,-0.002828029
452,0.00271386
453,-0.004868165
454,0.000457094
455,0.007409763
456,-0.009135613
457,0.007249294
458,0.000512366
459,-0.005121641
460,0.001874588
461,-0.003082979
462,0.005071768
463,-0.010612693
464,0.017230775
465,-0.015146567
466,0.005108144
467,0.009073169
468,-0.017681355
469,0.01989414
470,-0.011875821
471,-0.000721754
472,0.00595448
473,-0.003871491
474,-0.010870199
475,0.022483011
476,-0.01624105
477,0.012059257
478,-0.006745328
479,-0.009031126
480,0.015270373
481,-0.006744737
482,-0.001029512
483,0.004542962
484,-0.00714161
485,0.004236076
486,-0.002690428
487,0.002354463
488,0.006329737
489,-0.010019624
490,0.000191221
491,0.007066449
492,-0.002269375
493,-0.001962892
494,-0.000927824
495,-0.000208576
496,0.000415928
497,0.00645001
498,-0.011783272
499,0.010943263
500,-0.003617861
501,-0.004077056
502,0.007401545
503,-0.007766884
504,0.005077183
505,0.004744825
506,-0.01175202
507,0.003776486
508,0.001987182
509,-0.000545778
510,0.006462896
511,-0.012276594
512,0.01024521
513,-0.000615496
514,-0.008195599
515,0.003751226
516,0.004715556
517,-0.004505155
518,-0.005255939
519,0.010879629
520,-0.004654487
521,0.001454094
522,-0.002575297
523,0.002360136
524,-0.0029927
525,0.001451417
526,0.005845583
527,-0.010396425
528,0.002449006
529,0.003695244
530,-0.000630204
531,0.000659045
532,-0.004924169
533,0.008015168
534,-0.005616335
535,-0.00226773
536,0.004489201
537,0.000690023
538,-0.006021537
539,0.007431665
540,-0.004828088
541,0.002731663
542,-0.002072811
543,0.000930727
544,-0.000211197
545,0.004129027
546,-0.007650822
547,0.004727464
548,-0.004435647
549,0.007699988
550,-0.006133398
551,-0.000312379
552,0.004976791
553,0.001070033
554,-0.006926623
555,-3.24e-05
556,0.007660075
557,-0.003104538
558,-0.007560395
559,0.010055032
560,-0.003767693
561,-0.000486498
562,0.000334575
563,-0.004873452
564,0.007975815
565,-0.003257905
566,0.004225597
567,-0.009578801
568,0.011875494
569,-0.009702859
570,0.006753801
571,-0.006743506
572,0.002746866
573,0.004839648
574,-0.010466281
575,0.009581844
576,-0.005385229
577,0.00301347
578,-0.005432586
579,0.007568853
580,0.000778566
581,-0.002370892
582,-0.005606811
583,-0.001592272
584,0.01286206
585,-0.006786166
586,-0.003541418
587,0.004399114
588,0.000457306
589,-0.003358602
590,0.000520081
591,0.002562907
592,-0.001221053
593,-0.001859706
594,0.000851999
595,0.000669928
596,0.002326757
597,-0.002752651
598,0.004091829
599,-0.00793619
600,0.005522949
601,-0.003599156
602,0.009116847
603,-0.010548319
604,0.005084952
605,-0.002518655
606,-0.002121509
607,0.008918346
608,-0.008918305
609,0.003305545
610,0.000121171
611,0.000364574
612,0.001245171
613,0.00156634
614,-0.008441525
615,0.008618767
616,-0.005678127
617,0.000937356
618,0.000146081
619,0.005022006
620,-0.005806752
621,0.003357555
622,-0.001361377
623,-0.000362499
624,-0.000755737
625,0.004653916
626,-0.003962955
627,-0.002465372
628,0.00240953
629,0.001025361
630,0.003169009
631,-0.008143836
632,0.007086125
633,-0.003075706
634,-0.000903437
635,0.000781917
636,0.00223388
637,-0.003986232
638,0.004441904
639,0.001085847
640,-0.004384379
641,-0.001888548
642,0.004697566
643,-0.00373428
644,0.00469946
645,-0.002291377
646,0.000358965
647,-0.002731483
648,0.004201626
649,-0.003119876
650,3.29e-06
651,0.001854866
652,0.001755772
653,-0.008079997
654,0.006529148
655,0.002774275
656,-0.001751101
657,-0.006313394
658,0.000961237
659,0.003816216
660,0.002972249
661,-0.004452465
662,-0.002043861
663,0.002603443
664,0.001160554
665,0.001584002
666,-0.000747768
667,-0.005472745
668,0.004967229
669,0.004601786
670,-0.011846528
671,0.006262684
672,-0.000118407
673,-0.002288315
674,0.006003469
675,-0.004458334
676,0.002672974
677,-0.001283436
678,-0.004583643
679,0.005387435
680,-0.000888257
681,-0.002069851
682,-0.001069432
683,0.009831727
684,-0.010070364
685,0.002106937
686,-0.00076482
687,-3.24e-05
688,0.004488668
689,-0.004134133
690,0.000472269
691,0.000678954
692,0.001065447
693,-0.001567549
694,-0.000563007
695,0.002546225
696,-0.000148903
697,-0.003550517
698,-0.000181919
699,0.004532881
700,0.000272075
701,-0.004362089
702,0.00344032
703,-0.004298177
704,0.003051341
705,-0.000861732
706,0.004135532
707,-0.005977019
708,0.003835521
709,-0.002408014
710,-9.06e-05
711,0.003511908
712,-0.003749873
713,-0.002689087
714,0.007037124
715,-0.001901948
716,-0.002696246
717,0.004798092
718,-0.009305833
719,0.011386466
720,-0.006765042
721,0.004095924
722,-0.004396631
723,0.002137624
724,0.001021746
725,-0.002856116
726,0.00279399
727,-0.002161783
728,-0.004115341
729,0.005027807
730,0.00342697
731,-0.003680803
732,0.000211758
733,0.003091466
734,-0.004938811
735,0.001243168
736,-3.07e-05
737,0.003933326
738,-0.007168284
739,0.004474566
740,-0.000967874
741,0.0015151
742,-0.000182011
743,-0.006487635
744,0.010949999
745,-0.003069437
746,-0.004880083
747,0.001036253
748,0.000846096
749,0.002753939
750,-0.001877742
751,-0.002053564
752,0.004137651
753,-0.002087634
754,-0.002797122
755,0.002560002
756,0.000210823
757,-0.001626953
758,0.005271983
759,-0.002872055
760,-0.003148984
761,0.001894238
762,-0.003951206
763,0.005896218
764,-0.000924196
765,-0.000599809
766,0.000751999
767,-0.002285204
768,-0.00208622
769,0.005391262
770,0.000286514
771,-0.001935531
772,0.001149434
773,-0.007024674
774,0.010117593
775,-0.004606237
776,-0.000575859
777,-0.000880549
778,0.005734302
779,-0.006189471
780,0.000125008
781,0.005057644
782,-0.006116377
783,0.001176663
784,0.004336811
785,-0.001696836
786,-0.004128494
787,0.003730588
788,0.003989981
789,-0.006723519
790,0.001158157
791,-0.001128529
792,0.003130265
793,0.002324382
794,-0.004666201
795,0.00386883
796,-0.005296504
797,0.004988535
798,-0.002949318
799,0.001396314
800,-0.004636545
801,0.006578632
802,-0.00339703
803,0.004611617
804,-0.006491508
805,0.001882182
806,0.00087784
807,0.000151633
808,0.001999274
809,-0.00469434
810,0.00281593
811,-0.000120845
812,-0.000939508
813,0.003969188
814,-0.002673271
815,0.000776971
816,-0.00411871
817,4.12e-05
818,0.006305156
819,-0.005434035
820,0.000901714
821,0.001379353
822,-0.005598089
823,0.007995894
824,0.000628795
825,-0.005989705
826,0.007024039
827,-0.00784044
828,0.000203474
829,-0.000682387
830,0.011341131
831,-0.006093883
832,-0.00456576
833,0.005793051
834,-0.003219457
835,-0.007090389
836,0.014476783
837,-0.003183373
838,-0.006806138
839,0.005318692
840,-0.00981496
841,0.015277324
842,-0.007937791
843,0.000776077
844,-0.002977171
845,0.002976566
846,-0.007176833
847,0.01932421
848,-0.012850782
849,-0.015948102
850,0.031843803
851,-0.017261784
852,-0.003084035
853,0.011314606
854,-0.006826766
855,-0.003222791
856,-0.000216581
857,0.009368578
858,-0.004987213
859,-0.004871272
860,0.00571428
861,-0.005660666
862,0.004780574
863,0.005389142
864,-0.012595582
865,0.010944012
866,-0.001690549
867,-0.005003731
868,0.003155952
869,-0.001340781
870,0.00143052
871,-0.00375707
872,0.004782644
873,-0.002608128
874,-0.003508549
875,0.007483707
876,-0.002233895
877,-0.000437333
878,-0.000932827
879,0.000651444
880,-0.001826657
881,0.002632081
882,-0.003774431
883,0.005414106
884,-0.00541359
885,0.00479425
886,-0.002814877
887,0.001421285
888,-0.001728902
889,9.36e-05
890,-0.000557486
891,0.001944376
892,0.001240555
893,-0.00594732
894,0.009486025
895,-0.006636737
896,0.0014583
897,0.001206196
898,-0.002537771
899,-0.002752102
900,0.00776673
901,-0.00631765
902,7.96e-05
903,0.007750819
904,-0.008029641
905,0.002738994
906,0.000906798
907,-0.001279719
908,-0.000533229
909,-0.001922045
910,0.011246384
911,-0.013375837
912,0.00492829
913,0.006983372
914,-0.01180816
915,0.003702537
916,-0.00068544
917,0.002493319
918,0.001562149
919,-0.004025752
920,-0.001596794
921,0.005465282
922,0.002981819
923,-0.006205898
924,0.000288247
925,-0.000400064
926,0.004317874
927,-0.008285169
928,0.005148417
929,0.000746873
930,0.000468715
931,-0.002738138
932,0.002583223
933,-0.000746614
934,-0.000529653
935,0.003827599
936,-0.005293494
937,-0.000581144
938,0.000368713
939,0.003915232
940,-0.003234855
941,0.001368718
942,0.002313868
943,-0.000129523
944,-0.005018685
945,0.005602098
946,-0.005376345
947,0.003570379
948,-0.003529903
949,0.001516045
950,0.001642299
951,-0.000215464
952,0.001459164
953,-0.001741107
954,0.000585689
955,-0.004014665
956,0.004542778
957,-0.001452001
958,-0.000586024
959,0.000679019
960,0.000524731
961,0.000924156
962,-0.003760946
963,0.001231562
964,0.003394749
965,-0.001266328
966,-0.003391179
967,0.004161916
968,-0.004963788
969,0.008356089
970,-0.005096919
971,-0.004845941
972,0.006390574
973,-0.002919859
974,0.001968163
975,0.000370959
976,-0.002803274
977,0.001939554
978,0.002469954
979,-0.004473256
980,0.002344164
981,0.000369455
982,0.000642585
983,-0.006427167
984,0.005533562
985,-0.001387192
986,0.004204102
987,-0.006922345
988,0.006122573
989,-0.00355767
990,0.002353157
991,-0.000528597
992,-0.002380286
993,-0.000895967
994,0.006739824
995,-0.006214918
996,0.000651503
997,0.003241303
998,-0.002994451
999,-0.002809311
1000,0.005120316
1001,0.001556815
1002,-0.003313726
1003,-0.002476252
1004,0.007029257
1005,-0.00712239
1006,0.003219694
1007,0.000682291
1008,-0.001796947
1009,0.000588199
1010,0.001736719
1011,-0.003286949
1012,0.00375254
1013,0.001107267
1014,-0.006712933
1015,0.002848881
1016,0.003056132
1017,-0.003611593
1018,0.000495061
1019,0.003266799
1020,-0.003759853
1021,0.000710131
1022,0.002214185
1023,-0.003228033
1024,0.001045171
1025,0.002090382
1026,-0.003381785
1027,0.001904759
1028,0.001387023
1029,-0.000585138
1030,-0.002585951
1031,0.00369411
1032,-0.001387391
1033,-0.003225979
1034,0.003841954
1035,-0.000399447
1036,-0.000461983
1037,-0.000399422
1038,-0.000551333
1039,-0.000367613
1040,0.000519912
1041,0.001689325
1042,0.000522226
1043,-0.004390435
1044,0.004605059
1045,-0.003192919
1046,0.001227758
1047,0.000245851
1048,-0.000491873
1049,0.002122037
1050,-0.00396661
1051,0.003351585
1052,-0.000707254
1053,-0.0005538
1054,0.000122934
1055,-0.000982522
1056,0.001074932
1057,0.002975487
1058,-0.01027864
1059,0.007255674
1060,0.003838602
1061,-0.002493882
1062,-0.003456805
1063,0.002931768
1064,-0.00070985
1065,-0.004510656
1066,0.005367321
1067,-0.000146582
1068,-0.000773523
1069,0.00040636
1070,0.001218336
1071,-0.00715005
1072,0.012374731
1073,-0.012164482
1074,0.011639042
1075,-0.009449458
1076,0.003190984
1077,-0.00224564
1078,0.001932574
1079,0.003561472
1080,-0.00334659
1081,-0.003172087
1082,0.002054096
1083,0.00361671
1084,-0.006769414
1085,0.008335316
1086,-0.006935668
1087,0.005315887
1088,-0.002815128
1089,0.000906333
1090,0.000309453
1091,-0.002650185
1092,0.001902745
1093,-0.001650238
1094,0.002211009
1095,-0.003774046
1096,0.007708253
1097,-0.007678731
1098,0.004027213
1099,-0.000873785
1100,0.000624627
1101,-0.001405584
1102,-0.000874421
1103,-0.000507236
1104,0.006766279
1105,-0.004699682
1106,-0.002687615
1107,0.003847206
1108,-0.002001869
1109,-0.001976941
1110,0.005924888
1111,-0.003950839
1112,0.000941808
1113,0.001068964
1114,-0.005409891
1115,0.004204103
1116,0.003580428
1117,-0.004549017
1118,0.001360113
1119,-0.003995229
1120,0.005163296
1121,0.001252504
1122,-0.007741295
1123,0.013265054
1124,-0.021547447
1125,0.025797039
1126,-0.01354296
1127,-0.003182373
1128,0.007344698
1129,-0.002527962
1130,-0.005568135
1131,0.006845645
1132,-0.001718705
1133,-0.004119059
1134,0.01445604
1135,-0.018496768
1136,0.009907546
1137,-0.002829591
1138,0.002286394
1139,-0.002761522
1140,0.001459908
1141,-0.001932747
1142,0.00288384
1143,-0.004030241
1144,0.01331739
1145,-0.015540475
1146,0.006580881
1147,-0.007623888
1148,0.018388394
1149,-0.026071281
1150,0.016171963
1151,-0.001459303
1152,0.001345793
1153,-0.004283439
1154,0.002719485
1155,-0.002876781
1156,0.002749744
1157,0.004730339
1158,-0.005522789
1159,0.002543629
1160,-0.008548626
1161,0.00707311
1162,0.000895333
1163,-0.006741498
1164,0.006801961
1165,-0.001513742
1166,-6.14e-05
1167,0.001398726
1168,-0.004567846
1169,0.004100917
1170,0.000252848
1171,-0.00087215
1172,-0.000778489
1173,0.00273334
1174,-0.004938366
1175,-0.00036934
1176,0.005803825
1177,0.001294007
1178,-0.011830587
1179,0.008542869
1180,0.000875044
1181,0.004051907
1182,-0.014515409
1183,0.011508059
1184,-0.002225211
1185,-0.002289341
1186,0.00315578
1187,-0.002660883
1188,0.001980213
1189,-0.002352048
1190,0.002352177
1191,-0.002945478
1192,0.002570865
1193,-0.003681974
1194,0.008838537
1195,-0.0042432
1196,-0.002125572
1197,0.000594466
1198,-0.001495151
1199,-0.00257022
1200,0.009098261
1201,-0.002934571
1202,-0.003069606
1203,-0.000341772
1204,0.002470748
1205,0.001716189
1206,-0.005559521
1207,0.00131334
1208,0.005148451
1209,-0.003841762
1210,-0.00500984
1211,0.010498277
1212,-0.008538603
1213,0.005890084
1214,-0.006201881
1215,0.004423543
1216,0.000660012
1217,-0.001093028
1218,0.001589638
1219,-0.004304471
1220,0.00068783
1221,0.004893679
1222,-0.007200067
1223,0.006733117
1224,-0.003398548
1225,0.000218539
1226,-3.15e-05
1227,-0.003881867
1228,0.007032525
1229,0.000237995
1230,-0.005308402
1231,0.004085523
1232,-0.002389147
1233,0.00144677
1234,-0.00144677
1235,0.003989474
1236,-0.006344009
1237,0.005018819
1238,-0.006670132
1239,0.006042401
1240,0.001007952
1241,-0.007344048
1242,0.006524683
1243,-0.001757855
1244,0.001801837
1245,-0.001924908
1246,0.001928602
1247,-0.005091496
1248,0.00797239
1249,-0.005665113
1250,-0.000850744
1251,0.005182717
1252,-0.006634935
1253,0.007925956
1254,-0.010194245
1255,0.010255981
1256,-0.010514475
1257,0.010173098
1258,-0.002526608
1259,-0.002531667
1260,-0.001419216
1261,0.00508627
1262,-0.00382309
1263,0.002019855
1264,-0.00176598
1265,-0.001006356
1266,0.001731229
1267,0.002208378
1268,-0.007986161
1269,0.011371749
1270,-0.004456342
1271,-0.002969819
1272,0.000221899
1273,0.001418815
1274,-6.47e-05
1275,0.004664374
1276,-0.007133535
1277,0.004626108
1278,-0.005668505
1279,0.008298482
1280,-0.009314142
1281,0.011404806
1282,-0.012794129
1283,0.00473822
1284,0.006324862
1285,-0.006001926
1286,0.002318973
1287,-0.002666942
1288,0.000125503
1289,0.0036546
1290,-0.003050937
1291,0.001176204
1292,-0.00197162
1293,0.004833902
1294,-0.004008669
1295,0.000890228
1296,3.1e-05
1297,-0.002277612
1298,-0.002005326
1299,0.017688578
1300,-0.023721507
1301,0.007056577
1302,0.004484309
1303,0.00020315
1304,0.001118883
1305,-0.007380845
1306,0.007414106
1307,-0.003023799
1308,0.003697669
1309,-0.003989713
1310,-0.001868115
1311,0.003304426
1312,-0.002507854
1313,0.004918741
1314,-0.005077142
1315,0.001428849
1316,0.000506675
1317,0.000600419
1318,-0.001233577
1319,-0.000283151
1320,-0.000727264
1321,0.002021492
1322,0.001647255
1323,-0.003132709
1324,-0.002913995
1325,0.007822797
1326,-0.003008802
1327,-0.000161735
1328,-0.002150519
1329,0.002559827
1330,-0.001988814
1331,-0.001919392
1332,0.006018965
1333,-0.005010631
1334,0.00122934
1335,-0.001230929
1336,0.003658041
1337,-0.000471741
1338,-0.004670253
1339,0.002075264
1340,0.006016931
1341,-0.005350571
1342,-0.00088179
1343,0.00079053
1344,0.001073792
1345,-0.005126635
1346,0.008037351
1347,-0.003734818
1348,-0.000383398
1349,0.002707826
1350,-0.004205958
1351,0.006633559
1352,-0.007079536
1353,0.001721916
1354,0.003984231
1355,-0.008798872
1356,0.012438429
1357,-0.006104665
1358,-0.002792542
1359,0.001372461
1360,0.001331422
1361,-0.002753965
1362,0.000406095
1363,0.005522503
1364,-0.003903346
1365,-0.001046391
1366,0.003805955
1367,0.005738042
1368,-0.013919266
1369,-0.003769951
1370,0.011594322
1371,-0.001997335
1372,0.002617749
1373,-0.000946454
1374,-0.003176848
1375,0.000412226
1376,0.000188985
1377,-9.51e-05
1378,-0.00047498
1379,0.003649897
1380,-0.002043543
1381,-0.000975981
1382,-0.000347434
1383,0.004662536
1384,-0.004193249
1385,-0.001315001
1386,0.000188875
1387,0.002229649
1388,0.002580826
1389,-0.004278844
1390,-0.003044827
1391,0.009867211
1392,-0.007042862
1393,-0.000559239
1394,0.004013633
1395,-0.00351087
1396,0.00288082
1397,-0.002003848
1398,-0.002341051
1399,0.004218002
1400,-0.002846551
1401,0.004665802
1402,-0.005604985
1403,0.004070504
1404,-0.003663853
1405,0.004040593
1406,-0.001129464
1407,-0.002909354
1408,0.002534344
1409,-0.000125277
1410,-0.000625451
1411,-3.1e-05
1412,-0.000969149
1413,0.001186613
1414,0.002223538
1415,-0.003536757
1416,0.001877729
1417,-0.000531973
1418,-0.002536364
1419,0.004132461
1420,0.000473564
1421,0.002268598
1422,-0.009277207
1423,0.00185389
1424,0.007760408
1425,-0.007106355
1426,0.00308473
1427,0.000775601
1428,-0.006591564
1429,0.00802342
1430,-0.003017115
1431,-0.00012502
1432,0.001279159
1433,0.001089104
1434,-0.00576324
1435,0.004485185
1436,-0.001308757
1437,0.001529012
1438,-0.001903782
1439,0.003901823
1440,-0.006865406
1441,0.005272781
1442,-6.13e-05
1443,-0.002902948
1444,0.001185711
1445,0.001155459
1446,0.000935535
1447,-0.004492794
1448,0.00421149
1449,-0.003338316
1450,0.001150992
1451,0.002283752
1452,0.00290683
1453,-0.009217666
1454,0.004872712
1455,0.001280555
1456,-0.001810908
1457,-0.00018679
1458,0.000186921
1459,0.003088947
1460,-0.00330931
1461,0.019554644
1462,-0.04424055
1463,0.034667174
1464,-0.011715854
1465,-0.000778035
1466,-0.001665162
1467,0.012389848
1468,-0.008964829
1469,0.003274165
1470,-0.005196344
1471,0.004737478
1472,-0.00382249
1473,0.004160422
1474,-0.001590435
1475,0.000643282
1476,-0.004598187
1477,0.00791217
1478,-0.009612392
1479,0.008233753
1480,-0.000418161
1481,-0.005215332
1482,0.000167693
1483,0.004644167
1484,-0.00307476
1485,0.053579985
1486,-0.088188819
1487,0.021330541
1488,0.007563981
1489,0.02455089
1490,-0.022643622
1491,-0.008580055
1492,0.028213599
1493,-0.031954533
1494,0.033698881
1495,-0.019861072
1496,-0.000137646
1497,0.00421102
1498,-0.005467667
1499,0.015042946
1500,-0.014742051
1501,0.012832575
1502,-0.016594093
1503,0.00485266
1504,-0.007561422
1505,0.030405051
1506,-0.027884587
1507,0.014730102
1508,-0.01259714
1509,0.016609019
1510,-0.018723897
1511,0.016639298
1512,-0.020033371
1513,0.019007458
1514,-0.003600492
1515,-0.008729693
1516,0.008752508
1517,-0.01033768
1518,0.009975477
1519,-0.002891952
1520,-0.00366484
1521,0.009937073
1522,-0.011330466
1523,0.011350886
1524,-0.009684786
1525,0.000679369
1526,0.002289753
1527,0.005536491
1528,-0.010108122
1529,0.002890741
1530,-0.000189938
1531,0.008105525
1532,-0.010722798
1533,0.002729759
1534,0.00910092
1535,-0.011028697
1536,0.005617096
1537,-0.000308138
1538,-0.000641919
1539,-0.005268775
1540,0.006623886
1541,-0.00472923
1542,0.003082285
1543,-0.001317226
1544,0.001077941
1545,0.001528864
1546,-0.007076308
1547,0.009058555
1548,-0.002218226
1549,-0.002763729
1550,0.002190149
1551,0.000979807
1552,-0.006062758
1553,0.007223627
1554,-0.009985796
1555,0.010254478
1556,-0.00211348
1557,-0.00036155
1558,0.00043945
1559,-0.005110385
1560,0.002320595
1561,0.008785309
1562,-0.013704503
1563,0.00613841
1564,0.003635608
1565,-0.006796872
1566,0.003633879
1567,-0.003812243
1568,0.007094247
1569,-0.00322203
1570,0.001357253
1571,-0.004046295
1572,0.009884425
1573,-0.015425455
1574,0.007289005
